cell_id,state,latitude,longitude,B2,B3,B4,B8,B11,B12,ndvi,clay_index,ferrous_index,mn_proxy,elevation,slope,distance_to_fault,prospectivity_score,confidence,priority
CELL-00145,Odisha,20.805687,83.302934,0.0418,0.0521,0.1952,0.3658,0.3897,0.1819,0.3041,2.142,1.0654,0.3635,406.2,27.9,16.3,0.7702,0.5163,High
CELL-00146,Odisha,20.389037,83.769389,0.0662,0.1311,0.0313,0.1737,0.3389,0.0941,0.6949,3.6023,1.9512,0.5654,476.9,30.3,7.7,1.0,0.5157,High
CELL-00147,Odisha,20.907259,84.690225,0.1245,0.0506,0.1245,0.2769,0.1261,0.2372,0.3796,0.5316,0.4554,-0.3058,401.0,17.1,4.1,0.6399,0.6672,Medium
CELL-00148,Odisha,22.467144,83.170936,0.0744,0.0988,0.1505,0.301,0.2935,0.2831,0.3333,1.0367,0.9751,0.018,1048.4,11.0,26.9,0.5718,0.638,Medium
CELL-00149,Odisha,20.5855,84.468178,0.1164,0.1039,0.107,0.3934,0.1956,0.3079,0.5724,0.6354,0.4974,-0.223,547.5,11.5,22.7,0.608,0.6972,Medium
CELL-00150,Odisha,20.589258,85.854334,0.0428,0.1152,0.1243,0.2714,0.2863,0.1189,0.3718,2.4071,1.0551,0.413,707.9,13.0,33.1,0.7994,0.4455,High
CELL-00151,Odisha,20.555811,83.835929,0.0484,0.0574,0.1686,0.2,0.3767,0.341,0.0851,1.1047,1.8834,0.0497,728.4,5.0,18.7,0.9374,0.7464,High
CELL-00152,Odisha,20.261052,84.670355,0.1299,0.1494,0.0515,0.3355,0.1506,0.1155,0.7337,1.304,0.4488,0.1319,1061.5,8.7,13.2,0.6581,0.7353,Medium
CELL-00153,Odisha,22.250797,83.456146,0.0796,0.0827,0.0369,0.2701,0.3746,0.062,0.7598,6.0408,1.3868,0.7159,420.6,7.3,11.9,1.0,0.6961,High
CELL-00154,Odisha,21.398898,85.281727,0.0401,0.1031,0.0974,0.3089,0.3999,0.2808,0.5206,1.4238,1.2944,0.1749,537.7,29.0,8.5,0.9467,0.4687,High
CELL-00155,Odisha,21.845387,85.731817,0.0863,0.1052,0.029,0.1122,0.2564,0.1815,0.5888,1.4129,2.2846,0.1711,1023.1,5.6,1.2,0.9297,0.578,High
CELL-00156,Odisha,20.148843,85.173795,0.0345,0.1212,0.0706,0.1607,0.2015,0.2904,0.3897,0.6939,1.2538,-0.1807,531.3,26.3,6.3,0.6465,0.6493,Medium
CELL-00157,Odisha,22.032179,84.697345,0.1408,0.0881,0.0319,0.1067,0.3446,0.2074,0.5396,1.6613,3.2294,0.2485,952.8,8.2,17.3,1.0,0.7344,High
CELL-00158,Odisha,20.796489,84.834391,0.1082,0.0776,0.1727,0.4315,0.3632,0.2717,0.4284,1.3365,0.8416,0.144,405.2,9.9,48.2,0.8261,0.8304,High
CELL-00159,Odisha,22.970327,83.935638,0.0642,0.0418,0.0997,0.1914,0.1899,0.3004,0.3149,0.6322,0.9922,-0.2254,1129.0,6.5,18.6,0.5517,0.5936,Medium
CELL-00160,Odisha,22.904229,84.340144,0.0852,0.067,0.1048,0.3317,0.3204,0.2762,0.5199,1.1601,0.966,0.0741,735.7,31.7,40.9,0.4953,0.7627,Medium
CELL-00161,Odisha,21.207219,85.653761,0.1364,0.1664,0.0765,0.3419,0.1669,0.1072,0.6343,1.5574,0.4883,0.2179,303.1,12.0,21.5,0.6801,0.7927,Medium
CELL-00162,Odisha,20.863836,84.478459,0.059,0.1194,0.0981,0.1575,0.1173,0.214,0.2326,0.5481,0.7446,-0.2919,1092.7,12.0,36.7,0.8198,0.7245,High
CELL-00163,Odisha,22.462943,84.699816,0.1054,0.1648,0.0919,0.2144,0.0835,0.298,0.3998,0.2801,0.3893,-0.5624,981.1,3.7,28.8,0.5604,0.6428,Medium
CELL-00164,Odisha,22.941705,83.644088,0.0287,0.1192,0.153,0.1114,0.2908,0.2097,-0.1575,1.3868,2.6114,0.162,213.6,6.0,28.4,1.0,0.533,High
CELL-00165,Odisha,22.456221,85.950702,0.0538,0.1755,0.0976,0.2216,0.0961,0.0658,0.3884,1.46,0.4337,0.187,861.2,16.0,11.3,0.448,0.6047,Low
CELL-00166,Odisha,21.732895,84.077626,0.1271,0.1531,0.1059,0.2228,0.196,0.2917,0.3555,0.672,0.8799,-0.1962,461.0,7.3,4.2,0.804,0.4444,High
CELL-00167,Odisha,22.522726,83.663716,0.0695,0.1513,0.1683,0.2346,0.2269,0.141,0.1647,1.6095,0.9672,0.2336,1125.8,4.2,46.7,0.7653,0.7976,High
CELL-00168,Odisha,20.097977,84.426789,0.073,0.0542,0.1382,0.4399,0.2599,0.2644,0.522,0.9829,0.5908,-0.0086,175.3,14.6,5.8,0.6489,0.6051,Medium
CELL-00169,Odisha,21.985333,83.230409,0.0661,0.1126,0.0926,0.3918,0.3407,0.2335,0.6177,1.4588,0.8696,0.1866,510.8,8.9,5.3,0.6511,0.4174,Medium
CELL-00170,Odisha,22.027469,84.974479,0.0291,0.0893,0.0527,0.1549,0.3447,0.0626,0.4921,5.5092,2.2258,0.6927,561.1,5.9,44.0,1.0,0.7257,High
CELL-00171,Odisha,21.507282,85.194459,0.1446,0.0631,0.1795,0.427,0.3733,0.2406,0.4081,1.5512,0.8741,0.2161,792.8,14.1,37.6,1.0,0.7309,High
CELL-00172,Odisha,21.285374,85.194489,0.1272,0.052,0.1699,0.2891,0.3503,0.1794,0.2596,1.9527,1.2117,0.3227,516.9,32.0,12.6,1.0,0.8129,High
CELL-00173,Odisha,21.542286,83.925405,0.0945,0.0788,0.0271,0.1952,0.082,0.3435,0.7564,0.2388,0.4203,-0.6144,1162.3,13.8,36.4,0.7682,0.5957,High
CELL-00174,Odisha,22.41629,85.840269,0.072,0.1475,0.0679,0.4466,0.0882,0.2311,0.7362,0.3819,0.1976,-0.4473,825.5,24.1,6.0,0.3226,0.6137,Low
CELL-00175,Odisha,20.921649,84.639376,0.0742,0.054,0.0508,0.2464,0.3223,0.3194,0.6583,1.0092,1.3084,0.0046,192.5,13.8,5.0,0.8405,0.7452,High
CELL-00176,Odisha,20.701438,83.071123,0.1285,0.1762,0.0444,0.181,0.3579,0.3279,0.6062,1.0913,1.9771,0.0437,561.6,1.8,2.0,0.6998,0.6863,Medium
CELL-00177,Odisha,20.085957,84.749757,0.0215,0.1481,0.0752,0.1141,0.2683,0.1693,0.2057,1.5845,2.3514,0.2262,1171.2,19.0,13.8,0.9728,0.6781,High
CELL-00178,Odisha,22.71273,84.124166,0.0915,0.0376,0.0967,0.3913,0.3378,0.1173,0.6037,2.88,0.8632,0.4845,348.7,28.6,46.5,0.7861,0.5199,High
CELL-00179,Odisha,21.012363,85.612065,0.0309,0.0617,0.1554,0.118,0.2376,0.1826,-0.1371,1.301,2.0145,0.1308,467.8,13.8,26.5,1.0,0.4993,High
CELL-00180,Odisha,22.416297,85.280483,0.04,0.0524,0.0683,0.2264,0.2107,0.2539,0.5366,0.8298,0.9308,-0.093,162.3,1.2,19.6,0.6155,0.6803,Medium
CELL-00181,Odisha,21.924513,83.779484,0.1352,0.1644,0.0735,0.1805,0.2116,0.1222,0.4212,1.7323,1.1724,0.268,839.6,28.9,33.7,0.8534,0.7928,High
CELL-00182,Odisha,20.468951,85.213853,0.0669,0.1307,0.0687,0.1284,0.3976,0.0969,0.3029,4.1051,3.096,0.6082,1187.3,34.2,39.7,1.0,0.7949,High
CELL-00183,Odisha,22.598305,83.868319,0.0808,0.1229,0.094,0.2496,0.1857,0.2193,0.4528,0.8469,0.7439,-0.0829,1035.6,7.1,46.7,0.6352,0.6642,Medium
CELL-00184,Odisha,21.668572,85.33855,0.0221,0.1528,0.0272,0.4115,0.3974,0.1382,0.8759,2.8753,0.9659,0.4839,331.4,26.8,12.7,1.0,0.7168,High
CELL-00185,Odisha,20.972988,85.029451,0.0973,0.1205,0.1429,0.3014,0.2173,0.1328,0.3568,1.6366,0.721,0.2414,945.4,7.9,34.6,0.8881,0.5563,High
CELL-00186,Odisha,22.241235,83.656142,0.0278,0.0496,0.1291,0.3973,0.0944,0.2702,0.5096,0.3493,0.2376,-0.4822,475.5,16.7,46.4,0.4509,0.4289,Medium
CELL-00187,Odisha,20.041047,83.244796,0.0536,0.0342,0.1336,0.2492,0.2554,0.1024,0.3019,2.4943,1.0247,0.4276,425.5,23.2,48.3,0.7939,0.7064,High
CELL-00188,Odisha,21.500836,83.208182,0.0317,0.1201,0.0814,0.421,0.2101,0.093,0.6761,2.2596,0.499,0.3864,886.2,10.3,26.3,0.7641,0.636,High
CELL-00189,Odisha,22.376574,85.029083,0.1084,0.1719,0.0732,0.1004,0.167,0.1154,0.1563,1.4478,1.6638,0.1829,828.0,22.2,29.7,1.0,0.5219,High
CELL-00190,Odisha,21.669735,84.028193,0.0375,0.0442,0.1697,0.4214,0.2879,0.081,0.4259,3.5534,0.6832,0.5608,542.2,25.5,39.0,1.0,0.8603,High
CELL-00191,Odisha,20.763444,83.038692,0.0902,0.1577,0.1924,0.298,0.2446,0.0755,0.2154,3.2394,0.8209,0.5282,703.8,13.3,30.4,0.7547,0.495,High
CELL-00192,Odisha,20.284896,83.944755,0.0326,0.0565,0.1977,0.2554,0.2502,0.3121,0.1274,0.8017,0.9795,-0.1101,1195.1,20.4,40.6,0.5419,0.4921,Medium
CELL-00193,Odisha,21.208111,85.017522,0.1087,0.0773,0.044,0.3213,0.1211,0.2235,0.7592,0.5416,0.3767,-0.2974,862.8,24.5,37.7,0.6136,0.8192,Medium
CELL-00194,Odisha,22.190748,84.857518,0.0443,0.0339,0.0712,0.2551,0.2775,0.305,0.5635,0.9098,1.0879,-0.0472,315.9,4.4,48.2,0.7316,0.5851,High
CELL-00195,Odisha,21.756691,84.624123,0.0312,0.0386,0.039,0.305,0.2542,0.1201,0.7733,2.1161,0.8335,0.3582,801.6,28.7,2.1,1.0,0.7553,High
CELL-00196,Odisha,20.756936,83.923313,0.0998,0.1647,0.1658,0.3041,0.3137,0.1594,0.2943,1.9672,1.0315,0.326,805.1,16.3,9.5,1.0,0.8385,High
CELL-00197,Odisha,21.075865,85.734018,0.0227,0.0774,0.0302,0.3683,0.3047,0.1494,0.8482,2.0392,0.8273,0.3419,843.2,13.9,37.8,0.5035,0.4864,Medium
CELL-00198,Odisha,22.80419,83.752637,0.0357,0.1177,0.1945,0.2322,0.0999,0.1518,0.0885,0.6578,0.4299,-0.2064,656.5,5.7,32.9,0.4446,0.4058,Low
CELL-00199,Odisha,20.345439,85.649821,0.0739,0.0881,0.1387,0.2547,0.2874,0.0684,0.2947,4.2002,1.1285,0.6154,995.1,32.9,32.4,1.0,0.5014,High
CELL-00200,Odisha,21.74521,84.204385,0.064,0.049,0.0905,0.1569,0.315,0.1126,0.2684,2.7963,2.0072,0.4732,164.4,19.3,29.8,1.0,0.8451,High
CELL-00201,Odisha,21.036443,85.409036,0.0902,0.0419,0.1219,0.4178,0.2068,0.1389,0.5484,1.489,0.495,0.1965,257.8,5.3,21.6,0.657,0.6642,Medium
CELL-00202,Odisha,22.818706,85.265401,0.0963,0.1543,0.0344,0.2669,0.2816,0.2986,0.7715,0.9432,1.0552,-0.0292,961.8,9.7,47.0,0.5427,0.3181,Medium
CELL-00203,Odisha,21.741936,85.807812,0.1074,0.1022,0.1657,0.4327,0.0871,0.3448,0.4461,0.2525,0.2012,-0.5968,194.7,28.5,14.0,0.5088,0.4935,Medium
CELL-00204,Odisha,21.93187,84.142856,0.0271,0.1199,0.1824,0.2341,0.1492,0.1828,0.1241,0.8165,0.6374,-0.101,153.2,28.7,41.3,0.6085,0.8223,Medium
CELL-00205,Odisha,22.39935,84.664061,0.1274,0.1247,0.1612,0.3095,0.2125,0.3374,0.3151,0.6299,0.6867,-0.2271,695.2,21.2,11.0,0.8335,0.8564,High
CELL-00206,Odisha,20.554515,83.178761,0.0986,0.1446,0.1142,0.1794,0.2933,0.074,0.2219,3.9616,1.6351,0.5969,586.0,5.7,9.2,1.0,0.4308,High
CELL-00207,Odisha,20.153451,84.19338,0.0865,0.1025,0.0889,0.3937,0.1265,0.2017,0.6316,0.6272,0.3213,-0.2291,168.2,2.5,28.7,0.5628,0.6105,Medium
CELL-00208,Odisha,21.673621,85.879373,0.0263,0.0447,0.0279,0.1648,0.2532,0.2437,0.7102,1.0391,1.536,0.0192,150.1,33.1,42.1,0.5999,0.5696,Medium
CELL-00209,Odisha,20.509661,83.380833,0.036,0.1078,0.0643,0.2253,0.3966,0.2553,0.5563,1.5537,1.7601,0.2168,1143.9,5.0,19.1,0.8053,0.586,High
CELL-00210,Odisha,20.012562,85.011303,0.1034,0.0916,0.1081,0.2454,0.0877,0.1506,0.3883,0.5822,0.3573,-0.2641,294.8,3.4,47.8,0.5418,0.6306,Medium
CELL-00211,Odisha,20.946091,84.179441,0.0508,0.0445,0.0522,0.3791,0.2968,0.2141,0.7579,1.3865,0.7829,0.1619,622.6,32.3,3.6,0.767,0.5728,High
CELL-00212,Odisha,22.347277,85.977544,0.0513,0.1611,0.1695,0.1786,0.2078,0.1729,0.0262,1.2018,1.1632,0.0916,1176.0,6.3,40.0,0.7556,0.4568,High
CELL-00213,Odisha,21.260033,84.735079,0.1282,0.1506,0.176,0.1209,0.3015,0.092,-0.1856,3.2768,2.4941,0.5324,557.4,19.2,20.1,1.0,0.7502,High
CELL-00214,Odisha,20.405652,85.026368,0.0715,0.05,0.0486,0.4322,0.3615,0.3221,0.798,1.1222,0.8363,0.0576,1190.7,7.3,17.8,0.6353,0.8246,Medium
CELL-00215,Odisha,21.255169,84.073434,0.0972,0.1163,0.0491,0.2651,0.2571,0.2211,0.6877,1.1629,0.9698,0.0753,331.1,26.0,1.3,1.0,0.6638,High
CELL-00216,Odisha,21.691679,83.783487,0.1103,0.1151,0.1633,0.3573,0.2752,0.1965,0.3725,1.401,0.7704,0.167,246.5,9.1,21.0,0.8797,0.9399,High
CELL-00217,Odisha,20.864554,83.019393,0.0845,0.0728,0.1522,0.1084,0.2671,0.3324,-0.1683,0.8036,2.4649,-0.1089,291.9,16.5,4.6,1.0,0.7704,High
CELL-00218,Odisha,21.222097,84.564131,0.1366,0.0594,0.0241,0.4016,0.2647,0.3172,0.8869,0.8344,0.6591,-0.0903,756.6,28.4,21.5,0.7952,0.7766,High
CELL-00219,Odisha,21.716369,83.542355,0.0549,0.0598,0.0644,0.2072,0.2576,0.2264,0.5257,1.138,1.2432,0.0646,569.1,21.5,4.1,0.7357,0.6621,High
CELL-00220,Odisha,20.849853,84.200939,0.1255,0.0321,0.1369,0.3341,0.3356,0.3298,0.4187,1.0174,1.0044,0.0086,122.2,5.4,44.3,0.9559,0.5447,High
CELL-00221,Odisha,21.989082,85.0372,0.1411,0.1795,0.1496,0.2005,0.3615,0.0648,0.1454,5.5819,1.8028,0.6961,354.2,31.4,12.8,1.0,0.6544,High
CELL-00222,Odisha,22.577335,84.500175,0.1077,0.0659,0.1564,0.366,0.18,0.1732,0.4011,1.0394,0.4919,0.0193,330.7,34.2,32.3,0.5657,0.678,Medium
CELL-00223,Odisha,22.345673,85.297576,0.1099,0.1748,0.0908,0.1458,0.2949,0.2688,0.2321,1.0973,2.0236,0.0464,732.6,7.2,25.2,0.905,0.4477,High
CELL-00224,Odisha,21.935656,85.235644,0.0502,0.0908,0.0684,0.1695,0.3307,0.3228,0.4247,1.0245,1.9507,0.0121,507.3,26.3,44.8,0.8677,0.7088,High
CELL-00225,Odisha,22.868876,84.130029,0.0641,0.0394,0.1075,0.1382,0.1595,0.1451,0.1247,1.0996,1.1547,0.0474,989.7,30.6,15.1,0.6905,0.6296,Medium
CELL-00226,Odisha,22.070969,85.835072,0.1087,0.0797,0.1101,0.326,0.2434,0.086,0.4951,2.8305,0.7466,0.4779,443.3,28.1,43.1,0.8429,0.4564,High
CELL-00227,Odisha,22.255475,85.435839,0.1429,0.0769,0.1745,0.1461,0.3056,0.2726,-0.0887,1.1211,2.0919,0.0571,845.5,8.8,43.7,0.9418,0.8002,High
CELL-00228,Odisha,22.547294,84.150191,0.0419,0.1555,0.1188,0.1662,0.3105,0.2033,0.1664,1.5272,1.8682,0.2086,764.7,16.1,41.4,1.0,0.7183,High
CELL-00229,Odisha,20.316204,85.516562,0.1072,0.1346,0.0853,0.4077,0.3121,0.0838,0.6539,3.7256,0.7655,0.5768,548.6,31.0,2.4,0.9284,0.5847,High
CELL-00230,Odisha,21.894128,83.811678,0.0523,0.1713,0.0737,0.3714,0.2058,0.0918,0.6689,2.2424,0.5541,0.3832,111.8,19.0,48.8,0.6555,0.5494,Medium
CELL-00231,Odisha,21.032275,84.561632,0.0773,0.162,0.111,0.2777,0.1243,0.3448,0.4289,0.3604,0.4475,-0.4701,375.0,2.6,33.2,0.6364,0.9038,Medium
CELL-00232,Odisha,21.266577,85.355192,0.0454,0.153,0.1368,0.2466,0.2266,0.127,0.2865,1.7841,0.9186,0.2816,927.3,18.0,16.0,0.9795,0.6548,High
CELL-00233,Odisha,21.035051,83.164198,0.0466,0.0928,0.0595,0.1001,0.3728,0.3032,0.254,1.2297,3.725,0.103,916.5,5.9,6.0,1.0,0.559,High
CELL-00234,Odisha,22.786424,84.291607,0.0355,0.1069,0.0828,0.2312,0.2788,0.2656,0.4726,1.0497,1.2061,0.0243,221.7,1.2,49.7,0.7524,0.5597,High
CELL-00235,Odisha,21.023733,84.33255,0.1078,0.1063,0.1751,0.4031,0.0832,0.2834,0.3944,0.2935,0.2063,-0.5462,606.8,34.6,24.2,0.7151,0.5617,High
CELL-00236,Odisha,22.976407,85.572592,0.0327,0.136,0.0822,0.1024,0.2091,0.1204,0.1096,1.7364,2.0413,0.2691,1000.8,11.8,41.4,0.796,0.4503,High
CELL-00237,Odisha,20.20456,83.561373,0.0922,0.0737,0.0951,0.2319,0.3603,0.3216,0.4182,1.1203,1.5536,0.0568,642.3,11.6,5.3,0.7016,0.4542,High
CELL-00238,Odisha,20.961204,83.492861,0.1218,0.0484,0.1343,0.1433,0.1026,0.3228,0.0326,0.3177,0.7156,-0.5178,309.1,28.7,27.2,0.7362,0.5874,High
CELL-00239,Odisha,20.50643,85.561829,0.0217,0.1068,0.1585,0.4272,0.3709,0.2959,0.4587,1.2537,0.8684,0.1126,1077.0,7.0,14.2,0.6128,0.4356,Medium
CELL-00240,Odisha,21.179962,84.633666,0.0408,0.1337,0.0502,0.2086,0.2411,0.2889,0.6123,0.8343,1.1556,-0.0903,913.4,22.6,7.8,0.8754,0.7577,High
CELL-00241,Odisha,21.13209,84.24055,0.0252,0.0711,0.192,0.4338,0.1927,0.0629,0.3863,3.0628,0.4443,0.5077,297.0,13.7,47.4,1.0,0.6775,High
CELL-00242,Odisha,20.326048,85.943773,0.0696,0.1463,0.0817,0.3197,0.1414,0.0938,0.593,1.5078,0.4425,0.2025,1131.9,32.1,44.4,0.481,0.569,Medium
CELL-00243,Odisha,20.207111,84.004367,0.0608,0.1253,0.0841,0.152,0.2709,0.2943,0.2877,0.9203,1.7823,-0.0415,520.3,4.6,9.8,0.8168,0.4898,High
CELL-00244,Odisha,21.928385,84.802836,0.1105,0.0844,0.1683,0.1714,0.2301,0.2903,0.0092,0.7927,1.3422,-0.1157,298.2,3.8,44.2,1.0,0.6106,High
CELL-00245,Odisha,20.076046,85.070141,0.0611,0.0384,0.1298,0.1843,0.2038,0.0742,0.1736,2.7473,1.1058,0.4663,261.9,10.4,4.5,0.8931,0.5654,High
CELL-00246,Odisha,20.923037,85.778179,0.041,0.1749,0.057,0.3595,0.2549,0.3153,0.7261,0.8084,0.709,-0.1059,709.4,18.7,9.8,0.4852,0.442,Medium
CELL-00247,Odisha,22.279471,84.01647,0.1438,0.1407,0.1275,0.4083,0.0959,0.1271,0.524,0.7542,0.2348,-0.1401,611.5,7.9,37.2,0.5511,0.7411,Medium
CELL-00248,Odisha,21.026398,85.884652,0.0778,0.1034,0.0833,0.4183,0.2621,0.2787,0.6679,0.9405,0.6264,-0.0307,993.0,12.0,21.7,0.4943,0.6807,Medium
CELL-00249,Odisha,22.381805,85.822977,0.101,0.1412,0.1649,0.3958,0.2064,0.0654,0.4117,3.1572,0.5216,0.5189,542.1,23.6,22.5,0.728,0.6907,High
CELL-00250,Odisha,21.904232,83.559259,0.1174,0.1119,0.0567,0.2022,0.3196,0.1948,0.5617,1.6406,1.5806,0.2426,337.6,33.9,35.8,0.8637,0.7012,High
CELL-00251,Odisha,21.425301,85.693866,0.0883,0.1361,0.0654,0.2564,0.1195,0.1118,0.5935,1.069,0.4662,0.0333,101.0,1.4,48.9,0.5787,0.5018,Medium
CELL-00252,Odisha,22.517299,84.651981,0.0399,0.1392,0.128,0.3559,0.3263,0.3426,0.4709,0.9524,0.9168,-0.0244,730.9,12.0,32.4,0.6622,0.5685,Medium
CELL-00253,Odisha,22.447236,84.791937,0.0712,0.101,0.1738,0.219,0.3583,0.0764,0.115,4.6872,1.636,0.6483,954.5,29.7,9.1,1.0,0.6262,High
CELL-00254,Odisha,22.119812,84.606043,0.1026,0.0595,0.0581,0.1145,0.1831,0.2179,0.3268,0.84,1.5985,-0.0869,1043.7,23.3,21.8,0.9658,0.7826,High
CELL-00255,Odisha,20.776713,83.15848,0.1144,0.0482,0.0745,0.2864,0.2606,0.2302,0.5871,1.1322,0.9101,0.062,282.9,13.3,30.9,0.58,0.5838,Medium
CELL-00256,Odisha,21.775151,83.57607,0.1067,0.1235,0.1284,0.2714,0.2492,0.1503,0.3576,1.6575,0.918,0.2474,671.2,6.9,40.3,0.965,0.5779,High
CELL-00257,Odisha,21.31315,83.830262,0.0926,0.0821,0.1879,0.4229,0.2408,0.1484,0.3847,1.6227,0.5693,0.2374,910.8,1.3,23.7,0.9049,0.6725,High
CELL-00258,Odisha,20.036009,84.658445,0.1163,0.1028,0.0354,0.4404,0.2458,0.2343,0.8513,1.0491,0.5581,0.024,360.3,16.9,21.5,0.4467,0.6425,Low
CELL-00259,Odisha,20.584875,84.514734,0.1199,0.0393,0.1238,0.1417,0.0917,0.0658,0.0674,1.3926,0.6468,0.1641,1017.6,4.1,2.3,0.9859,0.6415,High
CELL-00260,Odisha,20.787225,84.265138,0.0252,0.0974,0.124,0.2998,0.1864,0.1447,0.4149,1.2884,0.6216,0.126,217.3,12.8,5.0,0.9668,0.7676,High
CELL-00261,Odisha,20.855617,84.892311,0.0792,0.1023,0.1564,0.1987,0.1818,0.3274,0.1191,0.5552,0.9149,-0.286,161.8,17.0,45.6,0.8379,0.9073,High
CELL-00262,Odisha,20.749233,84.029826,0.1308,0.1139,0.1127,0.1349,0.0851,0.3391,0.0897,0.251,0.6313,-0.5987,514.7,21.1,4.0,0.8509,0.6866,High
CELL-00263,Odisha,21.726996,83.378346,0.0956,0.145,0.0932,0.4079,0.2876,0.3198,0.6282,0.8993,0.7049,-0.053,785.9,4.6,15.5,0.7166,0.7411,High
CELL-00264,Odisha,20.902899,83.552134,0.1183,0.1011,0.0606,0.3158,0.0929,0.1479,0.6778,0.6284,0.2942,-0.2282,615.4,5.2,49.2,0.438,0.6014,Low
CELL-00265,Odisha,20.610605,85.307183,0.0753,0.1148,0.0238,0.1121,0.2227,0.295,0.6498,0.7548,1.9872,-0.1397,1073.8,3.0,26.9,0.8446,0.6959,High
CELL-00266,Odisha,22.488697,83.401087,0.1416,0.1427,0.1894,0.3368,0.1963,0.3315,0.28,0.5922,0.5828,-0.2561,403.1,11.6,35.0,0.5785,0.5193,Medium
CELL-00267,Odisha,22.215638,83.191384,0.0703,0.0724,0.0748,0.444,0.2857,0.2653,0.7116,1.0768,0.6434,0.037,1174.3,13.2,40.1,0.5575,0.5576,Medium
CELL-00268,Odisha,20.541973,85.843059,0.0484,0.0789,0.1561,0.2378,0.2746,0.1834,0.2074,1.4977,1.1548,0.1992,916.6,8.0,2.9,0.7775,0.3635,High
CELL-00269,Odisha,20.50406,84.064392,0.072,0.0386,0.125,0.4095,0.1286,0.2293,0.5323,0.5605,0.3139,-0.2816,831.2,14.7,35.1,0.5442,0.3749,Medium
CELL-00270,Odisha,20.022059,85.07516,0.106,0.0358,0.0863,0.4427,0.2146,0.2006,0.6737,1.0701,0.4849,0.0338,1100.9,25.1,29.1,0.4688,0.5933,Medium
CELL-00271,Odisha,21.370664,84.425325,0.0702,0.175,0.1455,0.1291,0.3561,0.1942,-0.0596,1.8342,2.7581,0.2943,175.6,19.2,20.9,1.0,0.8095,High
CELL-00272,Odisha,22.479394,84.673066,0.0271,0.1758,0.1123,0.2018,0.2302,0.3074,0.2851,0.749,1.1407,-0.1435,435.4,6.7,6.5,0.9331,0.5796,High
CELL-00273,Karnataka,14.414879,74.682445,0.0416,0.0799,0.1892,0.2201,0.3962,0.1956,0.0754,2.0259,1.8004,0.339,297.1,31.2,23.0,1.0,0.7749,High
CELL-00274,Karnataka,13.552904,74.118086,0.0228,0.1462,0.0442,0.2637,0.2739,0.1785,0.7129,1.5343,1.0386,0.2108,129.8,27.4,0.5,0.7079,0.5751,High
CELL-00275,Karnataka,14.29852,75.606627,0.082,0.0884,0.1797,0.4129,0.1875,0.2345,0.3934,0.7993,0.454,-0.1115,1119.6,33.7,25.4,0.6577,0.7287,Medium
CELL-00276,Karnataka,15.876616,74.428443,0.0954,0.0724,0.0702,0.2417,0.3996,0.0665,0.5498,6.0101,1.6531,0.7147,736.4,2.9,7.7,1.0,0.3,High
CELL-00277,Karnataka,13.776377,74.949371,0.0313,0.0755,0.194,0.4306,0.1872,0.2213,0.3789,0.8459,0.4346,-0.0835,1100.6,0.2,40.5,0.6023,0.6661,Medium
CELL-00278,Karnataka,13.772896,75.349831,0.1101,0.14,0.1992,0.2006,0.2522,0.21,0.0036,1.2011,1.2572,0.0914,546.2,5.9,48.9,0.8936,0.8065,High
CELL-00279,Karnataka,14.809736,74.681783,0.0907,0.1342,0.1127,0.4466,0.2756,0.1613,0.5969,1.7089,0.6172,0.2617,949.4,6.0,19.2,0.741,0.4777,High
CELL-00280,Karnataka,15.345339,75.452519,0.1232,0.1165,0.0816,0.3835,0.1563,0.1173,0.6492,1.3319,0.4074,0.1423,655.0,9.1,0.5,0.7757,0.8926,High
CELL-00281,Karnataka,14.336553,76.900906,0.0943,0.1595,0.0451,0.2992,0.3578,0.2249,0.738,1.5905,1.1956,0.2279,889.8,13.0,4.6,0.6057,0.4982,Medium
CELL-00282,Karnataka,15.601181,74.731986,0.1457,0.1737,0.0646,0.2218,0.3666,0.34,0.5491,1.0782,1.6526,0.0376,587.8,11.2,26.3,0.6913,0.6916,Medium
CELL-00283,Karnataka,15.20942,74.154972,0.0264,0.0879,0.0836,0.2105,0.2371,0.1462,0.4313,1.6217,1.1266,0.2371,311.5,10.8,48.7,0.5608,0.3595,Medium
CELL-00284,Karnataka,14.729635,76.950022,0.0514,0.1322,0.1489,0.3126,0.1083,0.2531,0.3547,0.4281,0.3466,-0.4004,170.5,20.9,37.0,0.5019,0.5368,Medium
CELL-00285,Karnataka,13.091061,76.531439,0.0798,0.0626,0.0441,0.4337,0.1033,0.1097,0.8155,0.941,0.2381,-0.0304,482.6,21.7,27.2,0.2941,0.47,Low
CELL-00286,Karnataka,13.716255,74.640629,0.0734,0.1356,0.0591,0.2283,0.2051,0.3429,0.5886,0.5981,0.8982,-0.2515,1150.1,28.0,12.1,0.6561,0.5791,Medium
CELL-00287,Karnataka,13.800384,75.517777,0.1211,0.1587,0.1721,0.2259,0.2999,0.1439,0.1352,2.0849,1.3277,0.3517,167.0,24.6,0.5,1.0,0.6034,High
CELL-00288,Karnataka,15.080133,76.298736,0.0595,0.1517,0.0729,0.2562,0.3126,0.2579,0.557,1.2124,1.2203,0.096,1186.1,7.9,33.1,0.8491,0.6719,High
